train,test
0.4197024678190549,0.14752108575059816
0.14579328099886577,0.1369920206757692
0.1354141102482875,0.1386996516241477
0.1363259264578422,0.13609158448301828
0.13369247453908126,0.13635351766760534
0.13907832900683084,0.14505140340098968
0.1343423559019963,0.13562986713189346
0.13750125306348007,0.13615923303251082
0.1345280934125185,0.1363442806670299
0.13483467623591422,0.13600441455267942
0.13499574698507785,0.1405474729835987
0.13408988527953625,0.1396914849487635
0.13449768150846164,0.13784199580550194
0.13394222023586433,0.13723746285988733
0.13348284450670084,0.14081927589499033
